sample_id,item_qid,preferred_label,description,direct_class_labels,class_ancestor_labels,semantic_fact_texts,annotator_final_decision,annotator_eventour_category,annotator_is_ambiguous,annotator_notes
ann_0001,Q4546860,10 Corso Como,"shopping and dining complex in Milan, Italy",centro commerciale,organizzazione | retail building | retail environment,unità amministrativa in cui è situato: Milano,,,,
ann_0002,Q81172370,AEM spa,archivio italiano,archivio,collezione | GLAM | organizzazione,unità amministrativa in cui è situato: Milano,,,,
ann_0003,Q338472,Accademia di belle arti di Brera,istituto di alta formazione artistica di Milano,academy of fine arts,accademia di belle arti,categoria per i dipendenti dell'organizzazione: Categoria:Persone legate all'Accademia di Brera | categoria per gli alunni dell'istituto scolastico: Categoria:Studenti dell'Accademia di belle arti di Brera | descritto nella fonte: Archivio della Produzione Editoriale lombarda | filiali: Biblioteca dell'Accademia di belle arti di Brera | architetto: Gualtiero Galmanini | architetto: Piero Portaluppi | prende il nome da: Palazzo di Brera | pagina di una istituzione su Commons: Brera Academy,,,,
ann_0004,Q16163709,Alcatraz,discoteca di Milano,discoteca | luogo per eventi musicali,entertainment venue | luogo per eventi | Q131907367,data di fondazione o creazione: 1997-01-01 | codice postale: 20159,,,,
ann_0005,Q37158169,Anteo Spazio Cinema,"cinema di Milano, Italia",cinema,azienda | luogo per eventi | sito,confina con: Via Milazzo 12 | sede legale: sede del gruppo rionale fascista “Gabriele d’Annunzio” | codice postale: 20121,,,,
ann_0006,Q111413056,Antica Locanda Dei Mercanti,"hotel in Milan, Italy",albergo,alloggiamento | impresa | struttura architettonica,stelle: hotel a quattro stelle,,,,
ann_0007,Q111878946,Aparthotel Duomo,"hotel in Milan, Italy",albergo,alloggiamento | impresa | struttura architettonica,stelle: hotel a cinque stelle,,,,
ann_0008,Q56328172,Apple Piazza Liberty,"building in Milan, Italy",Apple Store | edificio,negozio di computer | negozio di elettronica | struttura architettonica,proprietario: Apple Inc. | architetto: Norman Foster | data di apertura ufficiale: 2018-07-27,,,,
ann_0009,Q70050683,Archivio Alberto Zilocchi,archivio italiano,archivio,collezione | GLAM | organizzazione,argomento principale: Alberto Zilocchi,,,,
ann_0010,Q125745411,Archivio delle tesi di laurea dell'Università degli studi di Milano,biblioteca italiana di Milano,biblioteca,installazione culturale | istituzione pubblica | luogo,giorni di apertura: lunedì | giorni di apertura: venerdì | nome ufficiale: Archivio delle tesi di laurea dell'Università degli studi di Milano | numero di telefono: +39 0250312270,,,,
